img_src,link_addr,product_name
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1140264662415875-145225e0-ae44-4d35-b621-ccbedf4625d2.jpg,https://www.coupang.com/vp/products/7478028870?itemId=19527324191&vendorItemId=86635842789&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"바리스타룰스 그란데 무라벨 라떼, 350ml, 20개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/792626027419061-63013353-7cb7-427b-97ec-d7470eb0289d.jpg,https://www.coupang.com/vp/products/6807918291?itemId=16095441468&vendorItemId=3028473540&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"그린몬스터 다이어트 스폐셜2 가르시니아900, 112정, 1개"
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7795997492592620-c4a2e3e2-6948-406a-8484-ce607a74ffc8.jpg,https://www.coupang.com/vp/products/7863543179?itemId=21464350742&vendorItemId=81794562129&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"맥널티커피 스테비아 커피믹스, 9.5g, 100개입, 1개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5378848213863463-c6df9dc6-10fc-49b0-a03b-a56d2c668705.jpg,https://www.coupang.com/vp/products/7251718191?itemId=18448178046&vendorItemId=70647203367&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"경남제약 레모나산 틴케이스 120포 + 쇼핑백, 240g, 1세트"
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4528150043275140-c794fef6-f439-4807-a304-4d27eec76a84.jpg,https://www.coupang.com/vp/products/7511029161?itemId=19680234331&vendorItemId=86785625496&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"뉴케어 미니 구수한맛 영양식, 24개, 150ml"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9113320254128455-072a0d5f-2cb3-434c-8363-a2aaaf277ede.jpg,https://www.coupang.com/vp/products/1366922623?itemId=392397253&vendorItemId=3955154908&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"만토바 엑스트라버진 올리브오일 스프레이, 250ml, 1개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2974173637800324-1410d7b9-b5d4-4d48-a6c1-9b0d61d78fa0.jpg,https://www.coupang.com/vp/products/6398710176?itemId=2247205947&vendorItemId=70244613988&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"동원 라이트 스탠다드 참치, 85g, 12개"
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1244361166228061-530c2e99-d9e6-4ed8-814d-d49ee0b08ea0.jpg,https://www.coupang.com/vp/products/329389373?itemId=15581584012&vendorItemId=3006697064&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"블루다이아몬드 아몬드 브리즈 언스위트, 190ml, 24개"
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276756170980656-bd7840cb-a5ae-4aaf-a89d-faf00453a582.JPG,https://www.coupang.com/vp/products/7665804210?itemId=20435283022&vendorItemId=87516166432&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"곰곰 현미 곤약밥, 150g, 10개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b716/8333ac3cb06045af70aa7ab149a1abc437e06782042952cc65a34baa89bc.jpg,https://www.coupang.com/vp/products/159378801?itemId=18102328399&vendorItemId=75021260020&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"돈시몬 생과일 100% 착즙 오렌지주스, 1L, 6개"
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1501961742976399-69006455-a5e0-4137-93e6-801577dc056a.jpg,https://www.coupang.com/vp/products/7352544814?itemId=20272961744&vendorItemId=81540022093&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"광동제약 비타500, 100ml, 50개"
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1098697490656036-4430a701-c997-4ecf-bf6d-85e6bedebf6f.jpg,https://www.coupang.com/vp/products/7458810098?itemId=623694660&vendorItemId=4637889550&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"종근당건강 락토핏 골드, 160g, 1개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8403881562288423-9b05db6c-e24d-433f-8abf-9b9865358841.jpg,https://www.coupang.com/vp/products/6188181799?itemId=12197036700&vendorItemId=79468042937&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"오바다 국내산 손질오징어 6미 (냉동), 700g(6미), 1개"
